,Age,Gender,State,Category,Brand,Quantity,Price,Discount,Product Rating,high_return_risk
4/11/2025 21:36,33,Female,Tamil Nadu,Shorts,Zudio,2,427,10,4,Yes
4/11/2025 21:36,62,Male,Andhra Pradesh,Undergarments,Adidas,6,556,25,4.5,Yes
4/11/2025 21:36,32,Female,Mizoram,Sleepwear,Adidas,4,408,20,1,No
4/11/2025 21:36,41,Male,Himachal Pradesh,Shorts,Raymond,2,931,20,4,Yes
4/11/2025 21:36,33,Male,Karnataka,Shirts,Pantaloons,5,632,15,4.5,Yes
4/11/2025 21:36,20,Female,Telangana,Skirts,Nike,5,531,25,1,No
4/11/2025 21:36,66,Male,Odisha,Sweaters,Nike,4,963,30,4.5,Yes
4/11/2025 21:36,20,Male,Telangana,Skirts,Zudio,2,588,20,3,Yes
4/11/2025 21:36,25,Male,Uttar Pradesh,Jackets,H&M,6,558,25,3.5,Yes
4/11/2025 21:36,20,Female,Assam,Formal Wear,Puma,4,607,30,5,Yes
4/11/2025 21:36,35,Female,Telangana,Trousers,Nike,1,489,10,2.5,No
4/11/2025 21:36,39,Male,Uttarakhand,Formal Wear,Pantaloons,7,674,10,1.5,No
4/11/2025 21:36,31,Female,Karnataka,Shorts,H&M,3,735,20,1,No
4/11/2025 21:36,47,Female,Gujarat,Undergarments,Puma,7,545,20,5,Yes
4/11/2025 21:36,46,Male,Maharashtra,Suits,Pantaloons,5,656,10,5,Yes
4/11/2025 21:36,64,Male,Karnataka,Skirts,Pantaloons,6,722,30,1,Yes
4/11/2025 21:36,40,Male,Madhya Pradesh,Formal Wear,Raymond,1,528,30,4,Yes
4/11/2025 21:36,38,Male,Madhya Pradesh,Trousers,Raymond,2,987,25,4,Yes
4/11/2025 21:36,34,Male,Madhya Pradesh,Activewear,H&M,1,526,25,4.5,No
4/11/2025 21:36,46,Male,Odisha,Undergarments,Adidas,7,823,20,3.5,Yes
4/11/2025 21:36,54,Female,Arunachal Pradesh,Trousers,Nike,4,737,15,5,No
4/11/2025 21:36,41,Male,Himachal Pradesh,Activewear,Pantaloons,3,745,30,5,Yes
4/11/2025 21:36,44,Male,Uttar Pradesh,Formal Wear,Pantaloons,3,450,30,3,Yes
4/11/2025 21:36,43,Female,Odisha,Jeans,H&M,7,929,25,3.5,No
4/11/2025 21:36,54,Male,Tripura,Ethnic Wear,H&M,3,681,25,3.5,No
4/11/2025 21:36,54,Female,Andhra Pradesh,Shirts,Puma,5,554,15,3.5,Yes
4/11/2025 21:36,67,Male,Punjab,Activewear,Pantaloons,5,677,10,2.5,No
4/11/2025 21:36,44,Female,Maharashtra,Dresses,Adidas,4,568,25,1.5,No
4/11/2025 21:36,56,Male,Tripura,Shorts,Puma,6,672,25,2.5,Yes
4/11/2025 21:36,64,Female,Kerala,Formal Wear,Pantaloons,3,931,10,2,No
4/11/2025 21:36,18,Female,Arunachal Pradesh,Trousers,Levie's,3,622,20,1,No
4/11/2025 21:36,20,Male,Arunachal Pradesh,Activewear,Pantaloons,2,911,25,4,No
4/11/2025 21:36,64,Female,Bihar,Formal Wear,Levie's,2,651,20,4.5,No
4/11/2025 21:36,65,Female,Nagaland,Ethnic Wear,Raymond,4,409,30,3.5,No
4/11/2025 21:36,24,Female,Meghalaya,Jeans,Raymond,5,732,10,2,No
4/11/2025 21:36,40,Male,Maharashtra,Formal Wear,Raymond,6,870,15,3.5,Yes
4/11/2025 21:36,54,Male,Manipur,Jeans,H&M,3,829,30,4.5,Yes
4/11/2025 21:36,56,Female,Jharkhand,Sleepwear,Nike,4,907,25,5,No
4/11/2025 21:36,45,Female,Mizoram,Formal Wear,Levie's,5,471,10,3.5,No
4/11/2025 21:36,18,Male,Madhya Pradesh,Sweaters,Puma,1,441,25,4.5,No
4/11/2025 21:36,50,Male,Manipur,Shorts,Raymond,2,923,15,2.5,No
4/11/2025 21:36,52,Male,Tripura,Sweaters,Pantaloons,6,615,15,4.5,Yes
4/11/2025 21:36,57,Male,Karnataka,Shirts,Zudio,2,675,30,2.5,Yes
4/11/2025 21:36,66,Male,Uttarakhand,Undergarments,Raymond,1,937,10,3,No
4/11/2025 21:36,59,Female,West Bengal,Trousers,Levie's,5,672,30,3.5,No
4/11/2025 21:36,32,Female,Manipur,Dresses,Nike,3,499,25,3,No
4/11/2025 21:36,60,Male,Rajasthan,T-shirts,Raymond,1,407,20,4,No
4/11/2025 21:36,70,Male,Telangana,Jackets,Pantaloons,6,968,15,2,Yes
4/11/2025 21:36,70,Female,Goa,Sleepwear,Pantaloons,2,738,20,2,Yes
4/11/2025 21:36,55,Female,Telangana,Sleepwear,Zudio,1,495,20,1,Yes
4/11/2025 21:36,56,Female,Tripura,Dresses,Pantaloons,1,872,30,4,No
4/11/2025 21:36,25,Female,Odisha,Dresses,Zudio,3,461,20,3,Yes
4/11/2025 21:36,46,Female,Meghalaya,Activewear,Levie's,5,495,25,5,No
4/11/2025 21:36,54,Male,Telangana,T-shirts,Levie's,7,600,30,3,No
4/11/2025 21:36,51,Male,Karnataka,Shirts,Adidas,5,518,10,4.5,Yes
4/11/2025 21:36,55,Female,Kerala,Formal Wear,Nike,2,811,20,1.5,Yes
4/11/2025 21:36,46,Male,Nagaland,Undergarments,Puma,3,525,20,2,No
4/11/2025 21:36,47,Female,Jharkhand,Jeans,Zudio,2,579,20,5,Yes
4/11/2025 21:36,54,Female,Madhya Pradesh,Shirts,Pantaloons,7,749,20,2.5,No
4/11/2025 21:36,63,Female,Madhya Pradesh,Skirts,Adidas,2,902,30,3,Yes
4/11/2025 21:36,39,Female,Uttarakhand,Sweaters,Adidas,1,818,25,2,Yes
4/11/2025 21:36,62,Male,Arunachal Pradesh,Shirts,Zudio,2,800,20,1.5,Yes
4/11/2025 21:36,70,Female,Goa,Ethnic Wear,Nike,1,813,15,4,Yes
4/11/2025 21:36,63,Male,Karnataka,Sleepwear,Puma,7,543,20,2.5,No
4/11/2025 21:36,52,Female,Madhya Pradesh,Trousers,Levie's,2,628,30,2,No
4/11/2025 21:36,26,Male,Punjab,Dresses,H&M,2,581,10,2.5,No
4/11/2025 21:36,60,Female,Karnataka,Sleepwear,H&M,5,490,25,4,Yes
4/11/2025 21:36,54,Female,Telangana,Dresses,Puma,2,752,30,3,No
4/11/2025 21:36,44,Male,Meghalaya,Skirts,Adidas,6,577,20,4,No
4/11/2025 21:36,65,Female,Haryana,T-shirts,Pantaloons,6,958,25,3,Yes
4/11/2025 21:36,61,Female,Goa,Shorts,H&M,1,870,10,3,Yes
4/11/2025 21:36,55,Female,Manipur,Activewear,Levie's,7,899,20,2.5,No
4/11/2025 21:36,18,Female,Mizoram,Trousers,Nike,7,507,15,2.5,No
4/11/2025 21:36,41,Male,Telangana,Shorts,Nike,2,416,20,3.5,Yes
4/11/2025 21:36,53,Female,Meghalaya,Jeans,Adidas,4,581,15,3.5,Yes
4/11/2025 21:36,57,Male,Himachal Pradesh,Sweaters,Adidas,5,712,30,2,No
4/11/2025 21:36,68,Male,Karnataka,Sleepwear,Puma,5,569,25,3.5,Yes
4/11/2025 21:36,37,Female,Haryana,Sleepwear,Puma,4,685,10,2.5,Yes
4/11/2025 21:36,26,Female,Himachal Pradesh,Sleepwear,Puma,1,519,20,1,No
4/11/2025 21:36,40,Female,Nagaland,Skirts,Nike,5,951,15,2.5,No
4/11/2025 21:36,54,Male,Rajasthan,Sweaters,H&M,2,769,15,2,Yes
4/11/2025 21:36,64,Male,Tripura,Formal Wear,Levie's,5,922,15,1.5,No
4/11/2025 21:36,49,Male,Chhattisgarh,Dresses,Nike,6,592,10,4,No
4/11/2025 21:36,64,Female,Odisha,T-shirts,Raymond,2,645,10,1,No
4/11/2025 21:36,24,Male,Mizoram,Suits,Puma,6,850,10,3,No
4/11/2025 21:36,59,Male,Sikkim,Jeans,Pantaloons,6,438,15,4,Yes
4/11/2025 21:36,18,Male,Nagaland,Formal Wear,H&M,6,661,15,4,Yes
4/11/2025 21:36,26,Female,Himachal Pradesh,Sleepwear,Levie's,4,634,15,2.5,No
4/11/2025 21:36,32,Female,Tamil Nadu,Jeans,H&M,7,536,20,2.5,No
4/11/2025 21:36,67,Female,Arunachal Pradesh,Suits,Adidas,3,976,25,5,No
4/11/2025 21:36,46,Female,Punjab,Trousers,H&M,4,855,15,1.5,Yes
4/11/2025 21:36,60,Female,Goa,Jackets,Raymond,1,414,20,3.5,No
4/11/2025 21:36,67,Female,Goa,Sweaters,Nike,3,878,10,4,Yes
4/11/2025 21:36,56,Female,Karnataka,Dresses,Adidas,4,733,30,4.5,No
4/11/2025 21:36,60,Male,Sikkim,Formal Wear,Levie's,6,974,20,2,Yes
4/11/2025 21:36,21,Female,Haryana,Shorts,Raymond,1,455,15,5,Yes
4/11/2025 21:36,64,Female,Uttarakhand,Skirts,H&M,5,683,30,2.5,Yes
4/11/2025 21:36,70,Male,Mizoram,Sweaters,H&M,6,420,10,3.5,No
4/11/2025 21:36,45,Female,Mizoram,Undergarments,Raymond,7,755,20,1,Yes
4/11/2025 21:36,57,Male,Tamil Nadu,Sweaters,Levie's,7,982,20,4.5,Yes
4/11/2025 21:36,64,Male,Nagaland,Shirts,Adidas,7,950,30,5,Yes
4/11/2025 21:36,62,Male,Himachal Pradesh,Undergarments,Puma,7,538,15,3.5,No
4/11/2025 21:36,57,Male,Jharkhand,Trousers,Adidas,4,689,30,2,Yes
4/11/2025 21:36,35,Male,West Bengal,Formal Wear,Nike,1,503,10,4,Yes
4/11/2025 21:36,20,Female,Telangana,Formal Wear,H&M,2,414,30,3.5,Yes
4/11/2025 21:36,33,Female,Meghalaya,Shirts,Puma,5,802,25,4,No
4/11/2025 21:36,24,Male,West Bengal,Shorts,Nike,1,725,25,1.5,Yes
4/11/2025 21:36,20,Female,Assam,Sleepwear,Puma,5,414,20,5,Yes
4/11/2025 21:36,29,Male,Odisha,Sleepwear,Raymond,6,852,30,4,Yes
4/11/2025 21:36,63,Female,Punjab,Dresses,Puma,1,449,15,1.5,No
4/11/2025 21:36,21,Male,Telangana,Trousers,Adidas,2,887,30,2,Yes
4/11/2025 21:36,27,Female,Uttar Pradesh,Jackets,Pantaloons,6,675,15,3,No
4/11/2025 21:36,58,Female,Punjab,Shorts,Pantaloons,4,727,20,3.5,Yes
4/11/2025 21:36,52,Female,Punjab,Trousers,Adidas,7,412,15,1,No
4/11/2025 21:36,29,Male,Tamil Nadu,Formal Wear,Nike,6,473,15,4,No
4/11/2025 21:36,46,Male,Nagaland,Undergarments,Adidas,1,686,30,3,Yes
4/11/2025 21:36,59,Female,Haryana,Suits,Nike,1,440,10,4,Yes
4/11/2025 21:36,38,Male,Odisha,Ethnic Wear,Raymond,4,988,30,3,No
4/11/2025 21:36,49,Male,Arunachal Pradesh,Formal Wear,Nike,6,400,10,3,Yes
4/11/2025 21:36,51,Female,Haryana,Jackets,Levie's,1,848,10,3.5,No
4/11/2025 21:36,70,Male,Telangana,Jeans,Levie's,5,905,20,2.5,No
4/11/2025 21:36,70,Female,Andhra Pradesh,Skirts,Raymond,2,662,25,1.5,No
4/11/2025 21:36,33,Male,Rajasthan,Sweaters,Nike,4,646,25,4.5,No
4/11/2025 21:36,61,Female,Maharashtra,Skirts,Raymond,1,415,25,5,Yes
4/11/2025 21:36,66,Female,Nagaland,Sweaters,Zudio,3,631,25,1.5,Yes
4/11/2025 21:36,39,Male,Uttarakhand,Undergarments,Levie's,2,675,15,5,Yes
4/11/2025 21:36,52,Female,Bihar,Sweaters,Raymond,1,923,25,4,Yes
4/11/2025 21:36,19,Male,Haryana,Sweaters,Puma,3,607,10,3,No
4/11/2025 21:36,54,Male,Rajasthan,Activewear,Pantaloons,2,951,20,1.5,Yes
4/11/2025 21:36,23,Female,Uttarakhand,Suits,H&M,5,697,25,2,No
4/11/2025 21:36,43,Female,Manipur,Jackets,Pantaloons,1,590,30,4.5,No
4/11/2025 21:36,68,Male,Rajasthan,Undergarments,H&M,6,473,25,2.5,Yes
4/11/2025 21:36,51,Female,Punjab,Shorts,Pantaloons,2,490,10,3,No
4/11/2025 21:36,27,Male,Tamil Nadu,Shorts,Puma,3,608,15,2.5,Yes
4/11/2025 21:36,70,Female,Telangana,Jeans,Pantaloons,3,586,10,3,Yes
4/11/2025 21:36,51,Female,Arunachal Pradesh,Jeans,H&M,2,604,20,1,No
4/11/2025 21:36,26,Female,Kerala,Shorts,Raymond,3,658,30,4.5,Yes
4/11/2025 21:36,45,Male,Himachal Pradesh,Suits,Raymond,1,735,10,4.5,No
4/11/2025 21:36,70,Female,Sikkim,Jackets,H&M,6,884,30,3,Yes
4/11/2025 21:36,40,Male,Karnataka,Suits,Adidas,3,496,20,5,No
4/11/2025 21:36,49,Male,Gujarat,Formal Wear,Levie's,2,977,20,1,No
4/11/2025 21:36,44,Male,Uttar Pradesh,Ethnic Wear,Levie's,4,865,30,3.5,No
4/11/2025 21:36,53,Female,Goa,Ethnic Wear,Zudio,5,847,10,3,Yes
4/11/2025 21:36,65,Female,Punjab,Ethnic Wear,Adidas,1,510,10,1,No
4/11/2025 21:36,55,Female,Manipur,Skirts,Nike,3,555,25,1,No
4/11/2025 21:36,32,Male,Karnataka,Shorts,Adidas,3,611,30,3,Yes
4/11/2025 21:36,18,Male,Tripura,Dresses,Levie's,5,908,10,3.5,No
4/11/2025 21:36,70,Female,Kerala,T-shirts,Nike,2,686,25,1,Yes
4/11/2025 21:36,21,Male,Madhya Pradesh,Skirts,Pantaloons,4,437,15,1,No
4/11/2025 21:36,67,Female,Uttar Pradesh,Sleepwear,Adidas,6,467,30,4,Yes
4/11/2025 21:36,18,Male,Karnataka,Skirts,Zudio,7,603,25,1,Yes
4/11/2025 21:36,29,Female,Meghalaya,Skirts,Adidas,5,806,30,1.5,No
4/11/2025 21:36,65,Male,Andhra Pradesh,Activewear,Pantaloons,4,974,25,4,No
4/11/2025 21:36,53,Male,West Bengal,Dresses,Raymond,1,677,20,5,Yes
4/11/2025 21:36,66,Female,Uttar Pradesh,Dresses,Raymond,7,586,30,2.5,No
4/11/2025 21:36,34,Male,Sikkim,Jackets,Pantaloons,5,650,10,2.5,No
4/11/2025 21:36,50,Male,Himachal Pradesh,Sweaters,H&M,2,627,15,3,No
4/11/2025 21:36,42,Male,Uttar Pradesh,Sweaters,Zudio,4,832,15,2,Yes
4/11/2025 21:36,20,Male,Bihar,T-shirts,Levie's,2,684,20,3,Yes
4/11/2025 21:36,19,Female,Andhra Pradesh,T-shirts,Adidas,4,470,15,4,No
4/11/2025 21:36,34,Female,Karnataka,Sleepwear,Zudio,6,649,25,3,Yes
4/11/2025 21:36,68,Female,Punjab,T-shirts,Zudio,5,562,10,2.5,No
4/11/2025 21:36,38,Male,Tamil Nadu,Sleepwear,Pantaloons,1,822,25,3.5,No
4/11/2025 21:36,31,Female,Chhattisgarh,Sweaters,Puma,4,657,25,4,Yes
4/11/2025 21:36,18,Female,Bihar,Jackets,Raymond,4,484,25,4,Yes
4/11/2025 21:36,70,Female,Meghalaya,Jeans,H&M,7,743,30,4.5,Yes
4/11/2025 21:36,44,Female,Goa,Trousers,Raymond,1,599,25,2,Yes
4/11/2025 21:36,51,Male,Meghalaya,Activewear,Adidas,7,603,10,3,Yes
4/11/2025 21:36,40,Male,Sikkim,Dresses,Adidas,2,482,25,3,No
4/11/2025 21:36,40,Male,Manipur,Sleepwear,Nike,2,880,25,3.5,Yes
4/11/2025 21:36,20,Male,Chhattisgarh,Undergarments,H&M,1,953,15,4,Yes
4/11/2025 21:36,58,Male,Uttar Pradesh,Formal Wear,Adidas,2,534,20,5,Yes
4/11/2025 21:36,32,Male,Karnataka,Ethnic Wear,Pantaloons,7,418,10,2,No
4/11/2025 21:36,59,Male,Bihar,Undergarments,Puma,3,879,15,2,Yes
4/11/2025 21:36,63,Female,Kerala,Jeans,Adidas,7,883,10,1,No
4/11/2025 21:36,36,Male,Bihar,Dresses,Zudio,5,816,20,1,No
4/11/2025 21:36,24,Male,Rajasthan,Suits,Pantaloons,7,887,10,1.5,Yes
4/11/2025 21:36,70,Male,Punjab,Skirts,Puma,7,539,15,5,Yes
4/11/2025 21:36,39,Male,Arunachal Pradesh,Activewear,H&M,4,664,20,4.5,Yes
4/11/2025 21:36,47,Female,Karnataka,Skirts,Nike,4,478,25,4,Yes
4/11/2025 21:36,53,Male,Uttarakhand,Formal Wear,Pantaloons,5,522,30,1.5,No
4/11/2025 21:36,34,Male,Andhra Pradesh,Skirts,Pantaloons,1,409,15,2,Yes
4/11/2025 21:36,36,Female,Manipur,Sweaters,Zudio,4,630,10,3,Yes
4/11/2025 21:36,50,Female,Bihar,Suits,Puma,1,879,15,3,No
4/11/2025 21:36,68,Female,Telangana,Sleepwear,Zudio,6,672,15,1,Yes
4/11/2025 21:36,20,Female,Punjab,Jackets,Raymond,6,747,10,4.5,No
4/11/2025 21:36,42,Female,Uttar Pradesh,Sweaters,Puma,5,633,30,2.5,No
4/11/2025 21:36,62,Male,Maharashtra,Suits,Adidas,2,904,15,2,No
4/11/2025 21:36,21,Female,Nagaland,Activewear,Pantaloons,2,680,15,2,No
4/11/2025 21:36,56,Male,Punjab,Dresses,Levie's,7,975,20,1,Yes
4/11/2025 21:36,59,Male,Telangana,Jackets,Levie's,6,675,10,2.5,Yes
4/11/2025 21:36,48,Female,West Bengal,Sleepwear,Pantaloons,7,406,20,1,No
4/11/2025 21:36,34,Female,Madhya Pradesh,Sleepwear,Puma,2,407,30,3.5,No
4/11/2025 21:36,27,Male,Himachal Pradesh,T-shirts,Levie's,4,707,30,2.5,No
4/11/2025 21:36,37,Male,Arunachal Pradesh,Shorts,Adidas,4,811,20,4,No
4/11/2025 21:36,36,Male,Meghalaya,Shorts,Pantaloons,6,665,20,1.5,Yes
4/11/2025 21:36,31,Female,Uttar Pradesh,Skirts,Pantaloons,5,955,30,3,No
4/11/2025 21:36,49,Male,Sikkim,Jackets,Pantaloons,1,906,20,1.5,Yes
4/11/2025 21:36,66,Female,Nagaland,Jackets,Nike,6,737,30,4.5,No
4/11/2025 21:36,48,Male,Meghalaya,Shirts,Nike,1,449,30,1,No
4/11/2025 21:36,25,Female,Nagaland,Skirts,H&M,5,885,10,5,Yes
4/11/2025 21:36,27,Male,Telangana,Activewear,Nike,4,986,30,4.5,No
4/11/2025 21:36,49,Female,Rajasthan,Undergarments,Pantaloons,4,957,30,3,No
4/11/2025 21:36,48,Male,Bihar,Activewear,Puma,7,822,25,3,Yes
4/11/2025 21:36,39,Female,Uttarakhand,T-shirts,Puma,6,821,15,3.5,No
4/11/2025 21:36,52,Male,Haryana,Sweaters,Puma,5,792,20,3.5,Yes
4/11/2025 21:36,67,Male,Uttarakhand,Skirts,Nike,7,594,15,4,No
4/11/2025 21:36,66,Male,Goa,Activewear,H&M,1,509,10,1.5,Yes
4/11/2025 21:36,35,Female,Rajasthan,Formal Wear,Nike,5,995,30,2,Yes
4/11/2025 21:36,59,Female,Assam,Activewear,Nike,4,963,30,2.5,Yes
4/11/2025 21:36,27,Female,Tripura,Formal Wear,Zudio,5,766,15,4.5,Yes
4/11/2025 21:36,26,Female,Punjab,Sweaters,Puma,4,795,10,1.5,No
4/11/2025 21:36,60,Male,Madhya Pradesh,Trousers,Levie's,5,845,30,1,Yes
4/11/2025 21:36,39,Male,Haryana,Activewear,Levie's,7,679,10,4,Yes
4/11/2025 21:36,33,Female,Rajasthan,Sleepwear,Puma,2,621,15,2.5,Yes
4/11/2025 21:36,67,Female,Andhra Pradesh,Activewear,Raymond,1,506,30,2.5,No
4/11/2025 21:36,40,Male,Himachal Pradesh,Trousers,Adidas,3,746,10,2.5,No
4/11/2025 21:36,45,Male,Chhattisgarh,Undergarments,Nike,3,819,20,1,Yes
4/11/2025 21:36,47,Male,Jharkhand,Shirts,Puma,5,752,20,3,Yes
4/11/2025 21:36,51,Male,Assam,Sleepwear,Adidas,6,476,20,4.5,No
4/11/2025 21:36,54,Female,Himachal Pradesh,Shorts,Levie's,3,607,30,5,Yes
4/11/2025 21:36,53,Female,Sikkim,Jeans,Raymond,6,895,15,4.5,No
4/11/2025 21:36,53,Female,Odisha,Undergarments,Puma,1,590,25,2,Yes
4/11/2025 21:36,70,Female,Uttarakhand,T-shirts,Nike,4,958,30,2.5,No
4/11/2025 21:36,42,Female,Assam,Sleepwear,Zudio,6,493,30,1.5,Yes
4/11/2025 21:36,30,Male,Uttar Pradesh,Dresses,Nike,2,590,15,1,No
4/11/2025 21:36,28,Male,Madhya Pradesh,Jackets,Zudio,5,684,20,4.5,No
4/11/2025 21:36,67,Male,Andhra Pradesh,Jeans,Levie's,4,617,20,4,Yes
4/11/2025 21:36,56,Female,Tripura,Sleepwear,Zudio,6,477,10,2.5,Yes
4/11/2025 21:36,56,Female,Arunachal Pradesh,Jeans,H&M,4,792,20,5,No
4/11/2025 21:36,25,Male,Assam,Undergarments,Raymond,6,644,25,4,Yes
4/11/2025 21:36,44,Male,Sikkim,T-shirts,Zudio,1,895,25,2.5,Yes
4/11/2025 21:36,33,Male,Odisha,Undergarments,Puma,6,789,15,1,No
4/11/2025 21:36,65,Male,Telangana,Jeans,H&M,4,987,10,2,No
4/11/2025 21:36,33,Female,Punjab,Shorts,Pantaloons,6,516,30,1,No
4/11/2025 21:36,63,Female,Maharashtra,Ethnic Wear,Levie's,6,867,30,4,Yes
4/11/2025 21:36,19,Female,Jharkhand,Shorts,Pantaloons,5,889,20,1,Yes
4/11/2025 21:36,44,Female,Rajasthan,Suits,Raymond,4,759,25,3,Yes
4/11/2025 21:36,50,Male,Bihar,Sleepwear,Levie's,6,413,15,5,Yes
4/11/2025 21:36,50,Female,Maharashtra,Jackets,Puma,6,768,15,4,Yes
4/11/2025 21:36,26,Male,Meghalaya,Jeans,Nike,1,569,10,4,No
4/11/2025 21:36,41,Male,Andhra Pradesh,Suits,Nike,4,772,20,3,No
4/11/2025 21:36,24,Female,Arunachal Pradesh,Shorts,Levie's,6,762,25,3.5,No
4/11/2025 21:36,54,Male,Odisha,Ethnic Wear,Pantaloons,7,686,30,3,No
4/11/2025 21:36,44,Male,Maharashtra,Sleepwear,Levie's,5,962,15,1,Yes
4/11/2025 21:36,59,Female,Jharkhand,Skirts,Adidas,2,437,20,3.5,Yes
4/11/2025 21:36,65,Female,Chhattisgarh,Skirts,Zudio,7,440,20,3.5,Yes
4/11/2025 21:36,48,Male,Arunachal Pradesh,Suits,Pantaloons,3,404,10,2.5,No
4/11/2025 21:36,30,Male,Bihar,Undergarments,Nike,4,734,30,3.5,Yes
4/11/2025 21:36,67,Male,Arunachal Pradesh,Ethnic Wear,Raymond,2,494,10,2,No
4/11/2025 21:36,59,Female,Odisha,Dresses,H&M,2,990,30,3.5,Yes
4/11/2025 21:36,52,Male,Goa,Shorts,Levie's,5,869,15,4.5,Yes
4/11/2025 21:36,32,Male,Andhra Pradesh,Ethnic Wear,Levie's,5,506,20,2,No
4/11/2025 21:36,68,Female,Haryana,Formal Wear,H&M,5,555,10,1,Yes
4/11/2025 21:36,32,Female,Tamil Nadu,Ethnic Wear,Puma,3,851,15,1,Yes
